	CCR6-ILC3_SI_1	CCR6-ILC3_SI_2	CCR6-ILC3_SI_3	CCR6-ILC3_LI_1	CCR6-ILC3_LI_citro_2	CCR6-ILC3_LI_citro	CCR6+ILC3s_SI_1	CCR6+ILC3s_SI_2	CCR6+ILC3s_SI_3	CCR6+ILC3s_LI_1	CCR6+ILC3s_SI_Citro_2	ILC1_SI_3	ILC1_SI_4	NK_SI_3	NK_SI_4	ILC2_SI_1	ILC2_SI_2	ILC2_LI_1	ILC2_LI_2	ILC2_LI_citro_2	NKcells_LI_citro	NKcells_SI_SS
Fbxo30	  1.2627	  1.8266	  1.3322	 0.27812	-0.65123	 0.59528	 0.40917	  1.0256	 0.46604	0.096357	 0.33458	 0.17488	-0.61209	 -1.2185	 -1.6171	 -1.9272	 -1.4379	-0.81556	 0.34408	-0.68761	 0.41604	 0.40549
Rabgap1l	  1.2766	  1.4336	  1.3375	-0.13333	-0.94703	 0.70498	 0.78755	  1.0036	 0.68686	-0.95134	-0.51231	 0.69756	-0.60341	 -1.4518	 -1.8377	-0.68503	-0.33784	-0.97554	-0.74281	 -0.6298	 0.57787	  1.3018
Kat6b	  1.8603	  1.2685	 0.89846	-0.83553	-0.77969	  1.0849	  1.8646	 0.81142	  1.0206	-0.31393	-0.50975	-0.46688	-0.23585	-0.51329	-0.89372	  -1.283	 -1.2017	  -1.269	-0.42828	-0.59279	-0.19056	 0.70514
Kif1b	   1.8005	   1.5235	   1.4325	 -0.61966	  -0.6934	  0.71329	    1.059	  0.91918	   0.2971	  0.84952	 -0.19333	 0.045267	 -0.65733	-0.090712	  -1.7338	 -0.78523	  -1.3824	  -1.2499	  -0.6009	  -1.0061	 -0.14272	  0.51565
Ptpn4	  1.4093	  1.1697	 0.84276	-0.84281	 -1.5928	 0.63908	 0.74526	  0.9688	 0.70724	-0.49432	 0.23244	-0.79031	 -1.1258	-0.48394	-0.81074	-0.22679	-0.72081	 -1.3421	-0.38006	-0.94634	  1.2353	   1.807
Gpatch2	   1.7952	  0.69416	  0.62929	 -0.20913	 0.073363	   1.2999	   1.7381	  0.94498	   1.1501	-0.076957	   0.0262	 -0.68138	 -0.63376	  -1.8155	 -0.67496	 -0.46665	  -1.0484	  -1.1214	 -0.89594	  -1.2984	 0.093862	  0.47717
Olfr1342	  1.8304	  1.0466	-0.43504	-0.50238	 0.43784	 0.90422	  1.6432	 0.61304	  1.1512	 0.75391	-0.21494	 0.23274	 -1.0793	 -1.0793	 -1.0793	 -1.0793	 -1.0793	 -1.0793	 -1.0793	 -1.0793	 0.70234	 0.47093
Ppm1e	  1.5323	 0.80247	 0.40659	-0.47798	-0.64409	  1.0326	  1.6176	  1.3651	0.039598	-0.22227	 0.97736	 0.34554	-0.79519	 -1.8162	 -0.5566	-0.38318	 -1.8923	 -1.1043	 0.10964	 -1.0387	 0.38318	 0.31869
Dtx4	   1.0736	  0.45023	  0.46192	 -0.11854	 0.052474	  0.26911	    1.885	  0.71851	  0.19013	  0.66193	-0.008115	  0.30249	   0.6504	  -0.9875	 -0.33037	  0.32397	 -0.41915	  -2.1288	  -1.7887	  -1.3161	  -1.2853	   1.3429
Jam3	  0.32594	   1.1425	 -0.73099	 -0.11002	  -1.0678	  0.55058	   1.2142	   1.4548	   0.7985	 0.050275	 -0.38969	   1.2801	  0.67514	 -0.98359	-0.071386	 -0.47229	-0.095775	  -2.2532	  -1.4347	 -0.65204	 -0.63017	   1.3997
4930550C14Rik	  1.2472	  1.1377	  1.5525	  1.5108	 0.53784	 0.64164	 0.35079	0.068561	 0.34423	 0.18686	-0.38362	-0.48661	 0.45691	 -1.5028	 -1.5028	 -1.5028	 -1.5028	-0.82768	 -1.1563	-0.27925	  0.2962	  0.8134
Inpp4a	   1.6758	   1.7377	   1.5748	  0.82933	  0.55678	 0.098557	-0.034353	 -0.02312	 0.027979	 -0.18699	 -0.10667	  0.17037	  0.37009	  -1.2106	  -1.1259	  -1.8013	 -0.60849	  -1.1572	  -1.4383	 -0.49766	-0.060174	   1.2094
Aqp3	   1.921	  1.1811	   0.621	 0.28182	 0.73942	 0.15638	 0.96401	 0.87845	0.093313	 0.74272	 0.63955	 -0.2375	 0.16015	 -1.9297	 -1.9176	 -1.1803	 -1.2203	-0.43537	-0.71448	-0.77494	-0.50484	  0.5362
Dusp4	   1.9077	   1.3024	   1.1748	  0.75719	  0.73247	  0.67561	  0.63048	  0.45493	 -0.31258	  0.18651	 -0.34093	-0.070975	 -0.01413	  -1.8117	  -1.9004	  -1.3784	  -1.1452	 -0.24081	 -0.57384	 -0.93363	  0.23827	  0.66222
Tnf	   1.9518	   1.0465	   1.4771	  0.32854	  0.50791	  0.84256	  0.54848	-0.091139	  0.28094	 -0.55534	 -0.10005	-0.031142	 -0.24141	  -1.5902	  -1.9934	  -1.1752	  -1.8072	 -0.17004	  -0.3506	-0.086856	  0.73159	  0.47721
Cd163l1	   1.1513	  0.70336	   1.0924	   1.3151	   1.4677	   1.4448	  0.46749	 0.094291	 -0.49876	 -0.10008	  0.24683	-0.075069	  0.41083	  -1.6118	  -1.6118	  -1.2406	  -1.6118	 -0.79896	  -0.7729	 -0.70082	  0.44911	  0.17964
Fah	   1.7841	   1.3057	  0.94806	   1.2061	  0.91455	  0.85025	  0.34095	-0.014858	 -0.78287	  0.81153	  0.50417	 -0.71179	  0.30572	 -0.87088	  -2.3094	  -1.1026	  -1.0871	 -0.56946	 -0.85718	 -0.63264	 0.047089	-0.079262
Gda	  1.5356	  1.6845	  1.3506	 0.88662	 0.98016	  1.2777	-0.35122	-0.34283	-0.85553	 0.23058	 0.52824	-0.45146	    0.25	  -1.217	  -1.563	 -1.3949	 -1.3549	-0.80124	-0.57375	-0.40881	 0.21868	 0.37195
AI661453	   1.6493	   1.5823	  0.87411	  0.89061	  0.80111	  0.83587	  0.80622	  0.69183	 -0.93607	  0.89891	-0.040618	 -0.53652	 -0.80525	 -0.93889	  -2.0494	  -0.6997	  -1.0203	 -0.88734	 -0.51883	  -1.1359	   0.1609	  0.37755
Eps8l3	  1.9626	  1.5053	 0.82269	 0.61679	 0.67184	 0.89435	 0.48348	 0.33006	 -1.0286	 0.88145	 0.72808	-0.58627	-0.90685	 -1.0003	 -1.4005	 -1.4005	 -1.4005	-0.92569	-0.66262	-0.37487	 0.21304	 0.57705
Cap2	   1.7663	   1.3067	  0.97167	  0.30927	   1.1127	   1.0632	   1.0362	  0.99518	-0.044085	  0.34569	 -0.20633	  -0.8743	 -0.16961	 -0.59229	  -1.5996	 -0.83896	  -1.0343	  -1.5402	 -0.78137	  -1.1347	  -0.6725	  0.58119
Pram1	  1.8604	  1.2639	  0.4546	 0.75721	 0.85358	  1.3941	  1.0172	 0.44779	-0.22147	 0.27413	 0.25419	-0.67824	-0.31727	-0.88012	 -1.3344	-0.99044	 -1.0754	 -1.5758	-0.96733	 -1.3938	 0.22463	 0.63263
Gm4980	   1.5797	   1.4971	   0.7822	  0.86479	  0.93421	   1.1041	   1.1743	  0.66036	    -1.05	  0.42219	-0.030395	  0.12638	 0.092759	  -1.1667	 -0.91844	 -0.59897	 -0.81565	  -1.2695	  -1.2162	  -1.8176	 -0.12876	 -0.22589
Dbn1	   1.4098	  0.73923	  0.58649	   1.6243	  0.64214	  0.90638	   1.1293	  0.40935	  0.17043	 -0.15578	 0.074859	-0.093065	 0.056595	 -0.27875	  -2.3554	  -1.6469	   -1.019	 -0.73022	 -0.62417	  -1.4448	  0.59114	0.0080348
Mgll	 0.96288	  1.2317	 0.17958	0.012504	  1.0943	  1.3464	 0.17684	 0.37881	 -1.4427	   1.216	  1.5001	0.066638	0.040214	-0.26087	 -1.5825	 -1.5831	  -1.368	 -1.3068	-0.53286	-0.48419	-0.19839	 0.55353
Cpe	  1.4047	  1.5331	  1.3597	 0.62301	  1.0673	 0.90867	  0.4606	 0.38952	  0.9326	 0.34743	 0.15714	-0.48901	-0.52589	-0.52852	0.035309	 -1.7957	 -1.0328	 -1.6749	-0.65788	 -1.4102	-0.84511	-0.25911
Fam84b	    1.602	   1.1882	   1.3221	    1.042	   1.1952	  0.66967	  0.62088	  0.11278	  0.46271	  0.11434	 -0.51119	  0.34503	-0.060966	 -0.76722	 -0.36048	 -0.86956	 -0.16139	  -2.0336	  -1.2724	  -1.9522	 -0.33113	 -0.35477
Pfkp	   1.2072	   2.1227	   2.3271	   1.1738	  0.99125	  0.37628	  0.13253	  0.18107	 -0.14912	 -0.20504	  -0.5499	 -0.87504	 -0.43812	-0.014672	 -0.21842	  -1.2691	 -0.80242	 -0.81522	 -0.65065	  -1.0828	 -0.98864	 -0.45266
Miat	   1.2767	   1.0401	   1.4323	  0.48301	   1.6435	   1.7899	  0.07242	 0.053092	 -0.41737	 -0.87199	  0.40414	-0.034743	 0.087119	-0.017063	 -0.97324	 -0.71658	  -1.5661	 -0.95769	   -1.294	  -1.5661	-0.026097	  0.15877
Shank2	   2.0611	   1.6574	   1.1773	  0.43571	  0.70346	   1.1875	    0.674	  0.40693	-0.061553	  -0.4049	 -0.37801	 -0.19281	  0.94497	  -0.8186	  -1.3503	 -0.84586	  -1.3503	 -0.71828	 -0.48555	  -1.3503	 -0.97913	  -0.3128
Slc7a6os	  1.4638	  1.8011	  1.5581	  1.2995	  1.2415	 0.61248	-0.10985	0.025088	0.030592	-0.07544	0.049356	 0.26126	 0.32946	-0.56381	  -1.016	 -1.2562	 -1.3781	-0.82998	 -1.3077	 -1.2635	-0.73528	-0.13632
Rax	  0.69492	    2.752	   1.4862	  0.47115	   1.5357	  0.62279	 0.068835	 -0.81866	-0.044113	   1.0007	 -0.81866	-0.092716	  -0.1611	 -0.81866	 -0.81866	 -0.81866	 -0.81866	 -0.81866	 -0.81866	 -0.81866	 -0.14781	 -0.81866
Zfp703	 0.82221	  1.5424	  2.2536	  1.0272	  1.4849	-0.22116	-0.61929	 0.17926	0.052121	  1.1777	-0.57454	-0.24945	  0.3984	-0.74282	-0.80766	-0.53086	 -1.4128	-0.65884	 -0.4766	  -1.578	-0.53479	-0.53098
Mei1	   1.6592	   1.7987	  0.21683	   1.1635	   1.0543	  0.43384	   0.6472	  -1.2123	   1.0483	 -0.45532	 -0.29159	-0.046202	 -0.46135	 -0.43252	  -1.2123	  -1.2123	  -1.2123	  -1.2123	 -0.39771	  -1.2123	   1.0075	  0.32896
Ap1ar	   1.2602	   1.3417	    1.412	  0.31182	   1.6592	  -1.0631	   1.2193	   1.2205	   0.4476	 -0.25922	 0.040739	 -0.47978	 0.052564	-0.088558	 -0.43163	  -1.4859	   -0.621	 -0.35835	  -1.6606	 -0.66579	  -1.3308	 -0.52081
Hsbp1l1	  1.4469	  1.2155	 0.54006	-0.30992	   1.504	-0.20539	  1.4207	  1.1126	   1.191	-0.11281	 0.51653	-0.78432	-0.47915	 -1.0331	-0.86398	-0.86431	-0.19886	  -1.544	  -1.544	 0.35817	 -1.1874	-0.17836
C4a	  2.0736	  1.6148	  1.6285	 0.36726	   0.501	 0.27602	  1.1508	  1.1078	 0.63809	-0.34004	-0.10768	-0.61022	-0.55031	-0.76533	-0.64526	-0.74205	-0.68201	-0.81166	-0.97636	 -1.4041	 -1.1181	 -0.6048
Sncaip	  1.8828	  1.6387	  1.8513	-0.19545	  0.3163	 0.52189	  1.1111	 0.87937	 0.84579	-0.62333	 0.36292	 -1.2875	-0.77264	-0.43418	-0.52501	-0.99221	-0.93368	-0.65359	-0.51036	 -1.2875	-0.76242	-0.43224
Tunar	  1.6404	  1.5481	  1.3374	-0.12756	0.097075	-0.18365	  1.4733	  1.7462	  1.1657	-0.50277	 0.49145	-0.82441	-0.82441	-0.82441	-0.82441	-0.82441	-0.82441	-0.82441	-0.82441	-0.82441	-0.82441	-0.44152
Egfl6	  1.8699	 0.90565	  1.5054	-0.35844	 0.63925	-0.64708	  1.5671	  1.0437	 0.81798	 0.19175	 0.85474	-0.45211	 -1.0588	 0.43001	-0.74287	 -1.0588	 -1.0588	 -1.0588	 -1.0588	 -1.0588	-0.59825	-0.67398
Sel1l3	   1.6115	   1.5674	   1.8907	 -0.31847	  0.39997	-0.056903	   1.3284	  0.98025	  0.34084	-0.010562	   0.3268	 -0.67132	 -0.18786	-0.051209	  -1.2336	 -0.92812	  -1.6683	  -1.2808	 -0.85629	  -0.9811	 -0.37174	  0.17041
Tg	  1.6068	  1.1153	  1.6809	 0.49784	-0.22952	 0.39747	  1.0362	 0.57591	  1.7433	-0.94166	 0.28709	-0.41526	 -1.4267	 0.35222	 -1.3447	-0.79966	 -1.4283	-0.70187	 -0.3569	 -0.8009	-0.55828	-0.28933
Prpsap1	    2.0117	   0.84123	    1.0244	   0.42826	    1.1923	  -0.47079	    1.5323	   0.96015	   0.57568	-0.0044562	  -0.23927	  -0.93701	  -0.96888	 -0.086341	  -0.53155	  -0.71654	   -1.6946	    -1.744	  -0.96269	  -0.44659	   0.22569	  0.010936
Cacna1e	   1.3874	   1.1011	   1.1973	   1.0789	  0.16311	   1.1607	   1.0841	    1.238	  0.35677	  0.11315	 -0.14259	   -1.205	 -0.06229	-0.041106	 -0.26115	 -0.94037	 -0.76649	  -1.5038	  -1.0716	  -1.8984	  -1.0056	 0.017837
Fras1	  1.2522	 0.82841	  1.4123	 0.46956	 0.35256	 0.98927	  1.4557	  1.3763	  1.1842	 0.52803	-0.56321	 -0.7994	 -1.0398	-0.16778	  -0.739	 -0.5332	-0.75355	-0.93688	 -1.4747	-0.91614	 -1.4747	-0.45026
Pcp4	  1.9194	  1.8218	  1.7035	 0.71645	 0.97827	 0.99189	 0.57603	 0.65036	0.068203	-0.35382	-0.54553	-0.82955	 -1.1101	 -1.1101	 -1.1101	-0.93219	-0.89694	-0.47206	-0.68069	-0.28531	-0.66861	-0.43099
Rprm	  1.7018	  1.2909	  1.5545	 0.70968	 0.74648	 0.79039	 0.87999	  1.6636	  0.1328	 0.10542	-0.15464	 -1.0378	 -1.0378	 -1.0378	 -1.0378	 -1.0378	 -1.0378	 -1.0378	-0.53349	-0.44189	-0.70065	-0.48056
Ptprz1	   1.3077	   2.0511	    2.042	  0.54017	  0.63922	-0.036849	  0.51352	  0.78271	  0.86226	-0.018612	 -0.29256	  -1.1148	 0.059332	  -1.1148	  -1.1148	  -1.1148	-0.084069	  -1.1148	 -0.74394	  -1.1148	 -0.62383	 -0.30944
Pvrl1	  1.8715	  1.3361	  1.4476	  1.1189	 0.44264	 0.69714	 0.76468	 0.70585	0.065239	 0.42198	-0.33254	 -1.3183	-0.39913	  -2.031	 -1.1408	-0.75534	 0.25138	 -1.1174	-0.31515	-0.58785	-0.66878	-0.45674
Reps2	  2.5834	  2.1497	  1.3197	0.036247	-0.12111	  0.4919	0.089079	 0.34687	 0.48855	 0.14852	 -1.1649	 -1.1649	-0.33059	 -1.1649	-0.79089	-0.63851	 0.18197	 -1.1649	0.082175	-0.67728	-0.31431	-0.38569
Arrdc4	  1.3664	 0.98729	   1.384	 0.29349	 0.20873	 0.06012	  1.8779	  1.1129	  1.2927	-0.24354	-0.51012	 0.11683	 0.26753	 -1.1478	-0.79301	-0.78363	-0.65628	 -1.3208	 -1.2215	 -1.4673	-0.93587	 0.11199
Mill2	    1.246	  0.89132	  0.80639	 -0.12322	 -0.37448	  0.51027	   1.8266	   1.6527	   1.0911	   0.8858	 -0.31896	-0.070025	  0.46914	 -0.57402	  -1.3027	  -1.3027	 -0.82013	 -0.79686	 -0.85902	  -1.3027	  -1.3027	 -0.23174
Retsat	   0.90288	   0.94632	    1.3042	-0.0012021	  -0.79035	  0.021514	    1.4942	   0.93037	    1.9772	  -0.29914	  0.061331	    0.7479	 -0.032673	  -0.19927	  -0.83759	   -1.2299	  -0.25121	   -1.4161	   -1.7444	   -1.1304	  -0.75433	   0.30064
Ogdhl	  1.0202	  2.3207	 0.61521	-0.60545	  0.7347	 -0.4177	  1.0488	  1.1503	  1.1835	-0.33079	-0.13739	-0.13163	0.093378	 -1.2562	 -1.2562	-0.46961	  0.4661	 -1.2562	-0.75161	 -1.2562	 -1.2562	 0.49258
Pik3c2b	  1.5764	  1.0304	 0.11965	 0.65032	 0.67445	 0.87314	  1.5866	  1.0022	-0.54741	  1.2472	 0.48852	-0.66382	 -1.0942	 -1.1505	   -2.27	-0.55901	-0.77459	-0.65887	-0.63669	-0.37458	-0.40424	-0.11498
Stx1a	   1.8272	   1.6184	-0.040794	   1.0438	  0.64528	  0.58883	   1.4098	    1.015	 -0.53682	   1.1495	 -0.26891	 -0.57319	  -1.1164	  -1.1164	  -1.1164	  -1.1164	 -0.53588	  0.07685	  -1.1164	  -1.1164	 -0.61441	 -0.10654
Unc93b1	   1.2275	   1.7756	   0.6509	   1.3075	  0.55409	  0.61124	   1.4097	   1.2401	  0.24586	  0.32319	 -0.13413	 -0.98936	  -1.2373	  -1.5496	   -1.211	 -0.72722	-0.024511	 -0.44985	  -1.3105	 -0.52345	 -0.67028	  -0.5185
Tcf24	   1.9494	   1.8982	  0.58637	 -0.40907	  0.15523	 -0.48009	   1.3474	   1.2067	-0.075152	  0.68823	-0.028751	 -0.66404	  -1.2915	 -0.01678	 -0.89342	 -0.89362	  -1.2915	  0.13557	  -1.2915	  -1.2915	 0.071472	  0.58816
Hcn4	  2.0188	 0.24566	  1.7288	 0.74597	 0.66949	  1.2292	  1.0169	  1.1972	 0.49712	-0.90768	-0.90768	 0.41255	-0.90768	-0.90768	-0.36966	-0.90768	-0.90768	-0.90768	-0.31527	-0.90768	-0.90768	-0.90768
Sh3pxd2b	  0.76122	   1.0035	  0.92983	   1.7559	   1.2112	   1.4297	   1.0668	  0.62325	  0.39735	 -0.73783	  -1.1243	0.0009465	  0.16971	  -1.0382	 -0.83119	   -1.148	  0.24759	  -1.6029	 -0.65453	  -1.0011	  -1.0615	  -0.3974
A730090H04Rik	  1.7946	  2.8578	  1.5122	  -0.656	  -0.656	0.057237	 0.89242	  0.2315	 0.77303	  -0.656	  -0.656	  -0.656	  -0.656	  -0.656	  -0.656	-0.10898	  -0.656	 0.51827	  -0.656	  -0.656	  -0.656	  -0.656
Csn3	  2.0972	  1.9692	  2.2454	-0.38213	-0.72949	0.095455	  0.9809	 0.89323	 0.25018	-0.72949	-0.72949	-0.72949	 0.17212	-0.36646	-0.72949	-0.72949	-0.72949	-0.72949	-0.35025	-0.72949	-0.72949	-0.30997
Scn8a	    1.7207	    2.0327	    1.4785	  -0.75007	   -1.2188	   0.87215	    1.1186	   0.65971	    0.9413	   -1.2188	   -1.2188	  -0.69797	-0.0021784	  -0.04626	   0.26203	  -0.56469	   -1.2188	  -0.22164	  -0.49886	  -0.61287	  -0.39281	   -0.4233
St8sia1	  2.0616	  1.6098	  1.3463	 -1.1963	-0.88641	 0.21238	  1.2724	  1.2125	 0.46693	-0.86557	-0.79404	-0.68684	 -1.1963	-0.26283	0.057119	-0.48603	-0.35109	  0.4722	-0.69563	 -1.1963	-0.72514	 0.63099
Gnpda2	   1.9357	   2.3247	   1.7745	 -0.67674	 -0.83288	 -0.78914	  0.61567	   0.2138	  0.48729	  -1.8531	 -0.22209	  -0.7293	  0.12787	 -0.69629	 -0.61493	0.0092219	 0.077671	 -0.70838	 -0.51804	 -0.25718	 -0.31965	  0.65136
Olfr1034	  1.6769	  1.5615	  2.0108	-0.67063	-0.67063	 0.21145	  1.8218	  1.0366	-0.67063	-0.67063	 0.98177	0.087871	-0.67063	-0.67063	-0.67063	-0.67063	-0.67063	-0.67063	-0.67063	-0.67063	-0.67063	-0.67063
Dnajb5	  1.9904	 0.93609	  1.7034	 0.33413	-0.19427	 0.52016	 0.97927	 0.26377	 0.20714	-0.20511	 -1.8316	 0.38035	-0.39079	 0.20137	 -1.5317	-0.54437	-0.53115	 -1.5677	 -0.4883	 -1.3309	 0.41216	 0.68766
Frmd5	  1.7779	  2.0849	  1.3949	 0.48875	-0.74538	 0.45929	  0.9708	 0.73442	 0.14903	 -0.9559	-0.58349	 0.62481	-0.54872	-0.22105	 -1.3009	-0.72214	 -1.3009	 -0.7063	-0.22951	 -1.3009	-0.70162	 0.63214
Gabbr2	  2.2852	  1.9083	  1.6891	 0.73087	-0.58763	 0.38312	 0.35376	  0.2736	0.019919	-0.89652	-0.89652	-0.27782	  0.8224	-0.89652	-0.57433	-0.44307	-0.89652	-0.89652	-0.89652	-0.89652	-0.89652	 0.58865
Slc13a4	   2.1168	   1.9085	   1.9196	 -0.49858	   1.1484	  0.34965	   0.6128	  0.39448	-0.097131	 -0.88884	 -0.40725	  0.06071	 -0.88884	 -0.88884	 -0.88884	 -0.88884	 -0.88884	 -0.88884	 -0.46276	 -0.88884	 -0.32475	  0.39035
Eya4	  2.5644	  2.4901	-0.57739	-0.57739	-0.57739	 0.82844	 0.81776	-0.57739	   1.116	-0.57739	-0.57739	-0.57739	 0.78682	-0.57739	-0.57739	-0.57739	-0.57739	-0.57739	-0.57739	-0.57739	-0.57739	0.057376
Krt79	  1.2215	  3.1302	 0.30005	-0.55927	-0.55927	  1.8801	 0.90564	-0.55927	 0.72158	-0.55927	-0.55927	-0.55927	-0.55927	-0.55927	-0.55927	-0.55927	-0.55927	-0.55927	-0.55927	-0.55927	    0.23	-0.55927
Ak5	  2.1805	  1.7462	 0.91944	 0.58503	0.053329	-0.12973	 0.41629	 0.20442	 -0.3768	-0.32443	   1.537	-0.76341	 -1.5372	 0.06012	 0.24476	 -1.5372	-0.71026	 0.16256	 -0.7769	 -1.5372	-0.53065	 0.11387
Trpc6	  1.5041	  2.3927	  1.0909	 0.37548	-0.56435	 0.29276	  1.0289	 0.57404	 0.54012	-0.64678	 0.55271	 -1.2205	 -1.2205	 -1.2205	-0.65968	 -1.2205	 0.07556	 0.70885	-0.25958	 -1.2205	-0.51267	-0.39075
Grm4	  1.0898	 0.34302	  2.0531	  0.7378	-0.21016	-0.62571	  1.3517	  0.9555	-0.53219	 0.45968	  1.1703	  0.4375	-0.97792	-0.96107	-0.80799	-0.80829	 -1.4168	-0.12911	 -1.4168	 -1.4168	  0.6919	0.012496
6720416L17Rik	 0.92736	  2.1089	  1.5001	 0.78774	-0.95779	-0.45507	  0.4084	  1.4322	 0.31881	 0.13975	  1.3174	  0.2412	-0.95779	 -0.3849	-0.95779	-0.95779	-0.95779	-0.95779	-0.95779	-0.95779	 0.27831	-0.95779
Grik4	 0.45168	  1.7727	  1.7258	 0.26264	-0.84853	 0.51278	  1.0191	  1.6372	  1.3834	-0.84853	 0.78568	   0.165	-0.38216	-0.84853	-0.84853	-0.84853	-0.84853	-0.84853	-0.84853	-0.84853	-0.84853	-0.84853
Pou6f2	  0.95396	   1.3127	   1.0568	   1.6369	 -0.86964	  0.99976	  0.19963	    1.099	   1.9368	 -0.86964	  0.49495	 -0.86964	-0.077406	-0.046983	 -0.86964	 -0.86964	 -0.86964	 -0.86964	 -0.86964	 -0.86964	 -0.86964	 -0.86964
Pnpla3	  0.18138	   2.1422	  0.72561	  0.54405	 -0.36726	  -0.6841	    1.161	-0.011646	   1.4406	  -0.9987	    1.709	 0.026392	  0.60137	 -0.23696	 -0.31061	  -1.2307	 0.050101	 -0.62771	  -1.1773	  -1.7566	 -0.68165	 -0.49847
Ccdc152	   1.3499	   1.6602	  0.88229	-0.067534	 -0.69723	 0.087033	  0.56783	  0.90253	   1.0453	  0.91079	 -0.19662	 -0.50047	  -1.0791	 -0.29401	  0.02374	 -0.26737	   0.8255	  -2.5532	  -1.0917	  -1.0068	 -0.93699	  0.43581
Liph	   0.98226	    0.8461	    1.5208	  0.038002	   -1.8047	  -0.33568	    0.5335	   0.86869	    2.2519	    0.3337	   0.55993	  -0.28343	   -0.3593	   0.56025	 -0.094641	   -1.0667	-0.0078448	   -1.8047	   -0.8723	  -0.70706	  -0.92629	  -0.23235
Tmem26	  1.4877	   1.166	 0.83558	 0.83367	 -1.0856	-0.28479	 0.36127	  1.0982	  2.0275	-0.19971	  0.7564	 -1.0856	 -1.0856	 0.19878	   0.624	 -1.0856	 -1.0856	 -1.0856	 -1.0856	 -1.0856	-0.18901	-0.03102
Ddhd1	    1.261	    1.634	 -0.19376	  0.61416	  -2.3172	  0.17737	   1.3751	   1.4389	 0.056467	  0.56618	  0.82511	   0.1584	 -0.14074	-0.089846	 -0.46314	  -1.7143	 -0.65543	 -0.95633	 -0.60948	  0.12799	  -1.0062	-0.088146
Cnot4	 0.33132	   0.302	  2.1198	 -1.3714	 -2.6279	 0.26044	 0.36824	 0.89569	  2.0453	-0.41414	 0.54246	 0.20973	-0.19201	-0.28047	-0.39084	-0.26697	-0.89016	-0.34861	 0.36212	-0.23293	-0.59332	 0.17168
Vps37a	  0.22631	  0.30846	    1.944	 -0.90028	  -1.7868	  0.11584	-0.017345	   0.7744	   2.5506	  0.31541	   1.0606	  0.39985	 -0.77245	 -0.54383	 -0.62992	  -0.7991	 -0.56356	 -0.30295	 -0.48872	  0.62212	  -1.2363	 -0.27632
Gm766	  1.5431	  1.3769	  2.4004	 -1.2205	-0.73528	-0.11214	 0.73345	 0.43611	  1.4673	0.084069	 0.46651	-0.12137	-0.10949	-0.47369	 -0.8612	-0.86138	 -1.2205	-0.58691	 -1.2205	 0.04402	-0.84842	-0.18041
Inhba	 0.94289	  0.8867	  2.4019	 -1.2218	-0.95626	 0.13032	 0.94926	  0.6756	  1.7183	 0.23039	 0.82235	-0.61088	-0.54786	 -1.2218	-0.67493	  -0.418	 -1.2218	 0.17961	-0.11444	-0.36717	 -1.2218	-0.36074
Pdhx	    1.4697	   0.58545	    1.9135	  -0.52229	  -0.74844	  -0.24781	   0.45701	   0.77164	    2.1224	   0.85636	    -0.595	   -1.1242	   -1.5201	  -0.89929	    0.1058	 -0.088965	   -1.5434	-0.0021539	  -0.73105	   0.19199	  -0.43451	 -0.016704
Matn4	 0.70267	 0.87071	  2.6864	-0.74531	-0.74531	  0.8396	0.097295	  1.9764	   1.027	-0.74531	-0.74531	 0.22541	-0.74531	-0.74531	-0.74531	-0.74531	-0.74531	-0.74531	 0.20849	-0.74531	-0.74531	  0.3098
Sema6a	  0.6485	  1.5486	  2.3847	 0.08995	-0.56619	-0.41577	-0.47659	 0.28789	  1.2983	-0.55173	0.040647	  1.0189	  0.4787	  1.1356	-0.55287	 -1.2071	 -1.6781	 -0.7439	-0.51916	-0.67305	-0.97701	-0.57036
Vdr	  1.1779	  1.7759	  2.7358	-0.11749	-0.10952	-0.12225	0.042205	 0.35034	 0.88534	-0.15848	-0.14754	 0.32648	  0.5033	  -0.229	0.028812	-0.83377	 -1.4456	-0.96446	-0.73453	-0.48295	 -1.2208	 -1.2596
Zfp948	  0.42413	  0.82174	   2.2619	  -1.3998	 -0.51597	  0.21916	   0.5313	 -0.14156	   2.1632	 -0.70292	  0.12872	   1.1299	 -0.56542	  0.10701	  0.26996	  -1.0329	    -1.62	  -1.0083	-0.020845	 -0.46852	 -0.78292	   0.2021
Dthd1	  0.35218	  0.83501	   2.2064	  -1.4348	   0.5418	 -0.35237	  0.30774	   1.2207	   2.6429	 -0.72622	 -0.48288	 -0.36138	-0.092212	  -0.5495	  -0.3648	 -0.59345	  0.19839	 -0.81602	 -0.89123	 -0.79249	 -0.63677	 -0.21104
Nfkbib	   0.568	 0.37807	  1.6643	-0.31102	  1.8805	-0.24961	 0.33693	 0.45285	  2.3952	   -1.06	  0.3176	-0.41504	-0.11926	  0.3269	-0.62511	 -1.1344	-0.64188	 -0.3462	 -1.0573	 -1.7079	-0.46554	-0.18695
Kdm4a	 0.66302	-0.25436	  2.1701	-0.37566	 0.15072	-0.32214	 0.54168	 0.49245	  2.4128	 0.38574	 0.11094	 -1.3184	-0.36263	-0.37539	-0.73024	 0.72274	-0.23841	 -2.1903	-0.72243	-0.72977	-0.12571	 0.09521
